id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_14d_in_currency,price_change_percentage_1h_in_currency,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,created_date
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,33072.0,619286754513.0,1.0,694357329444.0,37786564550.0,36834.0,32588.0,-3514.50418148,-9.60607,-67219212401.298706,-9.7915,18729581.0,21000000.0,21000000.0,64805.0,-49.0556,2021-04-14T11:54:46.763Z,67.81,48587.3131,2013-07-06T00:00:00.000Z,,2021-06-08T04:13:32.592Z,-14.415904986647437,1.2019177512203816,239.5947377612984,85.5905427408383,-9.606069118061892,-43.72855933735009,-11.432289981400322,2021-06-07 21:14:19
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2517.81,292144536190.0,2.0,,41377250310.0,2845.78,2454.96,-278.90227479,-9.97251,-33276881934.00592,-10.22578,116202066.0615,,,4356.99,-42.56932,2021-05-12T14:41:48.623Z,0.432979,577814.8615,2015-10-20T00:00:00.000Z,"{'times': 101.10926221498706, 'currency': 'btc', 'percentage': 10110.926221498707}",2021-06-08T04:13:11.605Z,-4.634278140120079,1.5445440222264513,930.930211136353,434.20567725018407,-9.972514777156073,-35.6510932276501,-7.038121110641536,2021-06-07 21:14:19
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.01,62797685670.0,3.0,,85794460950.0,1.01,0.977026,0.00085478,0.08509,87645516.0,0.13976,62462356309.1829,62462356309.1829,,1.32,-25.19073,2018-07-24T00:00:00.000Z,0.572521,72.88413,2015-03-02T00:00:00.000Z,,2021-06-08T04:06:06.312Z,0.22806454692463501,1.5731050599414633,0.5595761140318929,0.4972952821738882,0.08509394914420967,0.6532046125662718,0.7837327196550611,2021-06-07 21:14:19
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,348.27,53823168633.0,4.0,59395875209.0,4600246305.0,404.85,333.9,-53.26042769,-13.26424,-8270650676.87079,-13.3196,154533651.9,170533651.9,170533651.9,686.31,-49.54456,2021-05-10T07:24:17.097Z,0.0398177,869561.09271,2017-10-19T00:00:00.000Z,,2021-06-08T04:13:25.279Z,1.3851686967898829,1.1747178816511783,1903.2318787024121,1141.7745836456036,-13.264237962988886,-46.00899771725535,-1.3616090610639178,2021-06-07 21:14:19
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.54,49167821190.0,5.0,68999095546.0,3657618652.0,1.74,1.49,-0.1995966,-11.48976,-6613784594.287369,-11.85657,32066390668.4135,45000000000.0,45000000000.0,2.45,-37.63688,2021-05-16T07:44:28.033Z,0.01925275,7821.34843,2020-03-13T02:22:55.044Z,,2021-06-08T04:12:50.386Z,-0.36114875270376995,2.8606981680873718,1679.5152940804765,1353.2403353166465,-11.489757985246351,-4.857895305983077,-11.827482107521924,2021-06-07 21:14:19
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.328821,42681891227.0,6.0,,3744444394.0,0.378148,0.322347,-0.04932785,-13.04457,-5977968981.535965,-12.28522,129925434206.757,,,0.731578,-55.26777,2021-05-08T05:08:23.458Z,8.69e-05,376467.41788,2015-05-06T00:00:00.000Z,,2021-06-08T04:13:23.249Z,-9.432973682159645,0.7973969447007832,12556.390653000975,11220.714767513777,-13.044574071072434,-48.10405257583002,0.7012725171045529,2021-06-07 21:14:19
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.852601,39309694711.0,7.0,,4046664578.0,0.97212,0.832448,-0.11541877,-11.92318,-5437960773.237869,-12.1525,46151013329.0,100000000000.0,,3.4,-75.03727,2018-01-07T00:00:00.000Z,0.00268621,31481.55605,2014-05-22T00:00:00.000Z,,2021-06-08T04:13:04.590Z,-13.516909361050708,1.5599872913086554,320.14162011468653,181.42352755340457,-11.923178429179064,-45.50725521617608,-18.130344057782853,2021-06-07 21:14:19
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.01,23150317072.0,8.0,,3542057634.0,1.01,0.979898,0.00281278,0.28061,26375668.0,0.11406,23048290543.142,23058789622.022,,1.17,-14.46327,2019-05-08T00:40:28.300Z,0.891848,12.47371,2021-05-19T13:14:05.611Z,,2021-06-08T04:12:25.935Z,0.486710916240862,1.3495543927146405,0.5052363145955551,0.5592776901986999,0.28061417513314824,0.38964105623958495,0.34442273100972226,2021-06-07 21:14:19
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,21.26,21304328688.0,9.0,,1485442931.0,25.29,20.67,-3.7733875,-15.07075,-3791557335.460675,-15.10828,1000301180.36345,1081245687.66594,,49.35,-57.16315,2021-05-15T03:59:58.961Z,2.7,683.68479,2020-08-20T05:48:11.359Z,,2021-06-08T04:13:18.176Z,-7.819534924467765,1.8776731487388394,,347.29042790311854,-15.07075492313571,-46.36232612234905,-8.846249107898045,2021-06-07 21:14:19
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,23.5,12212906983.0,10.0,23492802568.0,526840821.0,27.48,22.88,-3.11199338,-11.69545,-1649957693.8720763,-11.902,519857388.1320768,1000000000.0,1000000000.0,44.92,-48.08713,2021-05-03T05:25:04.822Z,1.03,2163.53246,2020-09-17T01:20:38.214Z,,2021-06-08T04:13:35.417Z,-4.404300534501693,1.8734238385274358,,530.0661611864974,-11.695446867922426,-41.87422264697243,-16.91083995602937,2021-06-07 21:14:19
